q_id,conds
0,col_3=9;col_2=6
1,col_4=16;col_0=10
2,col_4=20;col_2=9
3,col_1=5;col_2=20
4,col_2=7;col_0=19
5,col_5=18;col_1=9
6,col_2=4;col_0=18
7,col_4=2;col_0=16
8,col_5=1;col_1=9
9,col_3=13;col_5=3
10,col_3=11;col_0=14
11,col_3=4;col_5=10
12,col_0=15;col_4=4
13,col_3=15;col_5=16
14,col_2=0;col_4=9
15,col_1=2;col_0=18
16,col_4=19;col_1=9
17,col_2=6;col_4=20
18,col_4=10;col_0=5
19,col_1=8;col_4=7
20,col_4=18;col_3=19
21,col_2=18;col_4=5
22,col_4=9;col_0=20
23,col_0=14;col_1=12
24,col_3=16;col_2=11
25,col_0=12;col_1=9
26,col_1=12;col_3=16
27,col_4=6;col_0=9
28,col_2=20;col_0=8
29,col_4=17;col_3=18
30,col_4=9;col_5=15
31,col_0=18;col_1=10
32,col_2=16;col_1=2
33,col_3=14;col_0=4
34,col_2=14;col_4=16
35,col_0=13;col_4=5
36,col_1=3;col_0=14
37,col_1=18;col_5=5
38,col_2=1;col_0=1
39,col_2=9;col_4=8
40,col_1=18;col_5=17
41,col_1=1;col_5=8
42,col_3=12;col_5=17
43,col_4=7;col_2=2
44,col_2=20;col_5=18
45,col_3=18;col_1=17
46,col_4=20;col_0=9
47,col_3=0;col_1=6
48,col_5=9;col_4=1
49,col_2=0;col_0=10
