row_id,col_0,col_1,col_2,col_3,col_4,col_5
0,2,7,5,14,7,9
1,5,4,3,13,16,5
2,2,0,4,19,6,10
3,3,6,9,0,20,15
4,6,4,3,2,9,7
5,19,19,9,3,13,10
6,9,8,13,9,12,3
7,3,5,1,19,18,8
8,4,6,20,1,5,8
9,20,8,3,13,17,18
10,18,1,6,15,4,8
11,19,6,14,12,13,16
12,10,11,11,15,2,3
13,18,16,12,20,11,14
14,18,17,1,7,10,4
15,4,15,10,9,11,15
16,3,17,1,15,6,1
17,20,12,5,11,18,6
18,12,8,19,0,17,1
19,10,9,16,6,15,4
20,17,8,1,16,20,16
21,4,10,13,4,13,13
22,13,12,20,7,2,18
23,13,3,3,17,0,2
24,1,16,12,6,12,12
25,3,11,19,5,9,14
26,6,6,1,9,8,12
27,7,14,14,7,0,9
28,19,5,5,20,9,11
29,0,16,14,18,15,20
30,7,6,19,2,13,14
31,4,17,1,5,9,6
32,7,15,5,0,10,12
33,16,12,6,14,9,12
34,3,15,0,4,1,17
35,6,11,7,9,8,8
36,12,19,13,15,11,1
37,12,14,5,1,13,5
38,18,2,15,9,9,3
39,16,11,6,2,1,15
40,16,16,13,18,15,13
41,5,15,13,11,17,17
42,2,12,12,13,13,17
43,8,3,7,2,0,1
44,9,14,3,10,17,0
45,5,6,20,19,16,11
46,20,19,14,17,11,18
47,3,18,16,19,4,12
48,14,14,13,11,0,14
49,1,9,11,9,2,7
50,10,19,19,0,2,4
51,15,4,7,19,13,7
52,11,13,2,8,16,7
53,6,13,10,5,8,3
54,20,19,5,2,14,6
55,2,16,8,16,9,5
56,20,0,19,5,3,6
57,15,14,12,17,12,13
58,1,17,13,5,1,11
59,11,11,4,6,14,18
60,4,0,5,14,7,18
61,4,16,19,17,7,14
62,1,12,16,19,3,4
63,1,5,1,6,17,5
64,5,8,5,15,11,14
65,20,7,6,16,9,11
66,18,3,8,12,19,14
67,7,17,20,19,11,7
68,17,6,9,0,14,5
69,10,0,13,5,9,20
70,15,18,11,2,5,19
71,3,9,6,15,15,15
72,8,5,18,1,11,12
73,8,14,6,8,3,8
74,18,20,20,14,13,7
75,9,20,1,14,1,10
76,20,10,12,13,3,14
77,6,10,14,1,0,4
78,9,20,6,12,1,6
79,12,1,9,5,11,11
80,7,3,16,20,1,3
81,9,8,4,15,17,9
82,0,1,8,19,9,1
83,17,0,9,7,20,9
84,6,6,6,6,18,0
85,1,13,10,2,14,19
86,10,9,9,4,3,17
87,17,18,1,6,6,7
88,14,18,7,15,15,6
89,0,19,1,10,9,4
90,20,3,12,15,5,19
91,6,16,0,2,11,14
92,17,0,13,3,11,19
93,13,10,12,4,11,10
94,8,14,18,19,1,9
95,2,13,12,8,7,20
96,9,15,1,8,0,19
97,20,19,0,19,18,14
98,10,5,10,9,9,17
99,7,15,9,18,15,15
100,3,4,12,10,20,11
101,4,12,14,0,16,4
102,9,6,3,20,0,20
103,6,5,10,14,18,19
104,3,3,10,15,13,12
105,8,2,3,10,12,16
106,13,0,4,18,15,19
107,10,14,18,16,5,15
108,11,8,11,4,19,18
109,11,4,2,20,6,10
110,18,3,11,1,8,16
111,5,13,3,8,7,7
112,13,9,3,19,16,7
113,11,5,14,5,8,1
114,18,15,13,16,2,19
115,19,17,15,4,10,15
116,8,5,8,4,15,9
117,13,19,18,3,15,6
118,16,4,13,16,18,10
119,14,14,11,0,5,12
120,2,17,0,19,18,0
121,4,13,6,8,19,1
122,10,18,7,20,11,7
123,1,0,17,15,15,14
124,17,19,13,0,15,13
125,14,20,9,4,19,20
126,2,9,7,12,2,14
127,18,10,11,17,14,3
128,7,17,9,0,12,10
129,7,19,15,14,6,8
130,5,6,6,12,11,7
131,19,15,15,8,7,17
132,13,8,2,13,5,19
133,7,16,16,10,11,3
134,6,18,20,6,10,13
135,0,3,0,11,15,11
136,7,6,18,7,11,19
137,9,1,11,3,9,13
138,5,7,11,14,15,0
139,10,4,0,20,13,9
140,0,6,16,4,5,7
141,18,15,15,18,1,11
142,20,11,1,4,16,6
143,17,4,8,4,2,7
144,0,4,2,1,16,15
145,0,17,6,15,14,16
146,12,17,5,6,12,5
147,19,17,15,4,3,4
148,17,20,11,2,8,20
149,14,4,2,5,17,8
150,2,3,16,4,5,5
151,6,17,16,17,18,13
152,9,9,7,6,1,11
153,13,2,20,11,9,18
154,16,1,2,1,10,6
155,13,6,2,14,3,2
156,5,5,13,16,14,20
157,5,9,17,12,5,16
158,10,1,15,3,5,6
159,19,4,6,12,10,13
160,4,13,18,11,0,15
161,9,15,15,3,9,4
162,5,12,6,6,5,18
163,19,17,13,5,1,8
164,1,11,10,5,9,9
165,12,0,19,17,7,13
166,20,0,18,16,0,12
167,4,8,3,11,19,14
168,11,17,1,8,18,19
169,10,3,6,19,1,12
170,9,14,10,8,4,10
171,9,12,18,0,17,13
172,8,18,17,20,1,14
173,15,10,13,7,12,12
174,9,6,9,6,4,18
175,4,0,13,8,2,20
176,5,4,4,9,19,16
177,4,13,6,8,7,9
178,6,8,0,3,3,12
179,11,8,18,7,7,13
180,8,10,8,17,17,5
181,14,6,9,16,5,13
182,14,5,7,17,8,13
183,5,11,14,18,0,0
184,17,20,11,17,15,3
185,14,15,15,19,20,19
186,19,14,13,1,1,1
187,18,2,8,18,5,0
188,11,17,17,7,6,3
189,5,18,6,4,9,20
190,19,15,1,11,6,7
191,1,7,9,1,20,13
192,14,7,13,3,13,13
193,6,16,12,11,20,8
194,12,3,2,11,18,9
195,4,14,5,9,8,1
196,10,17,2,0,15,20
197,19,13,16,3,9,16
198,3,15,4,15,11,0
