row_id,col_1,col_2,col_3,col_4,col_5,col_6,pop
3153,12.0,12.0,14.0,1.0,12.0,6.0,31
6666,12.0,17.0,8.0,1.0,7.0,1.0,31
6781,2.0,4.0,9.0,4.0,7.0,5.0,31
5447,18.0,12.0,2.0,1.0,8.0,6.0,31
757,12.0,3.0,18.0,1.0,8.0,11.0,30
2188,12.0,11.0,18.0,1.0,0.0,7.0,30
3865,12.0,17.0,9.0,17.0,16.0,8.0,30
5870,12.0,16.0,9.0,17.0,16.0,11.0,30
7979,12.0,2.0,3.0,17.0,19.0,20.0,30
2001,2.0,5.0,9.0,17.0,17.0,13.0,29
3353,12.0,13.0,3.0,17.0,4.0,13.0,29
7996,11.0,4.0,9.0,1.0,7.0,4.0,29
298,2.0,20.0,19.0,4.0,7.0,0.0,29
3600,2.0,3.0,14.0,1.0,4.0,6.0,29
4108,5.0,5.0,9.0,1.0,2.0,5.0,29
4869,6.0,12.0,8.0,1.0,7.0,13.0,29
5811,12.0,12.0,9.0,1.0,15.0,3.0,29
7683,2.0,19.0,3.0,17.0,7.0,8.0,29
9957,12.0,10.0,9.0,14.0,6.0,11.0,29
9185,12.0,12.0,14.0,17.0,12.0,7.0,29
2796,15.0,5.0,9.0,1.0,6.0,20.0,29
3604,15.0,6.0,14.0,1.0,7.0,11.0,29
7969,2.0,5.0,16.0,1.0,4.0,10.0,29
111,12.0,12.0,16.0,6.0,7.0,12.0,28
3854,15.0,12.0,9.0,17.0,8.0,11.0,28
5682,17.0,5.0,9.0,17.0,6.0,13.0,28
6967,15.0,0.0,19.0,1.0,12.0,15.0,28
8123,5.0,20.0,9.0,17.0,12.0,4.0,28
488,8.0,12.0,20.0,1.0,7.0,8.0,28
775,11.0,20.0,9.0,1.0,6.0,12.0,28
1221,12.0,11.0,18.0,17.0,0.0,6.0,28
1301,12.0,17.0,14.0,1.0,10.0,13.0,28
3783,12.0,0.0,11.0,18.0,9.0,4.0,28
4564,12.0,14.0,19.0,1.0,19.0,17.0,28
794,18.0,2.0,9.0,17.0,12.0,17.0,28
2392,6.0,5.0,9.0,13.0,7.0,13.0,28
2557,12.0,16.0,3.0,9.0,0.0,10.0,28
4360,17.0,12.0,3.0,9.0,7.0,11.0,28
4516,2.0,11.0,19.0,13.0,7.0,11.0,28
4669,12.0,19.0,19.0,1.0,9.0,17.0,28
4907,17.0,4.0,2.0,1.0,9.0,5.0,28
249,5.0,12.0,9.0,17.0,19.0,15.0,28
676,18.0,17.0,8.0,1.0,19.0,11.0,28
1329,12.0,10.0,19.0,18.0,16.0,4.0,28
1845,12.0,2.0,12.0,1.0,8.0,12.0,28
1949,18.0,13.0,2.0,1.0,4.0,16.0,28
2204,11.0,2.0,14.0,4.0,7.0,13.0,28
2481,12.0,2.0,9.0,17.0,5.0,5.0,28
3249,7.0,2.0,9.0,1.0,3.0,13.0,28
8337,12.0,5.0,3.0,15.0,7.0,15.0,28
8784,12.0,4.0,13.0,1.0,4.0,11.0,28
146,12.0,2.0,9.0,20.0,2.0,8.0,27
573,14.0,4.0,3.0,1.0,6.0,9.0,27
1173,12.0,11.0,16.0,1.0,12.0,0.0,27
1750,18.0,12.0,9.0,14.0,19.0,1.0,27
2352,2.0,13.0,16.0,1.0,14.0,5.0,27
2484,2.0,17.0,7.0,1.0,3.0,17.0,27
2634,12.0,7.0,20.0,1.0,7.0,9.0,27
2907,11.0,6.0,8.0,1.0,9.0,5.0,27
3239,8.0,17.0,3.0,1.0,0.0,11.0,27
3561,17.0,12.0,9.0,19.0,6.0,7.0,27
3877,18.0,11.0,2.0,17.0,16.0,4.0,27
3892,12.0,16.0,15.0,10.0,8.0,6.0,27
5298,18.0,6.0,8.0,1.0,6.0,13.0,27
5723,12.0,2.0,16.0,17.0,4.0,15.0,27
6322,6.0,4.0,11.0,1.0,7.0,7.0,27
7145,2.0,0.0,17.0,1.0,7.0,15.0,27
7639,6.0,19.0,2.0,1.0,7.0,4.0,27
7851,3.0,12.0,9.0,1.0,18.0,13.0,27
9921,15.0,14.0,2.0,1.0,7.0,15.0,27
572,12.0,4.0,14.0,17.0,19.0,13.0,27
1863,18.0,4.0,2.0,18.0,12.0,4.0,27
2248,15.0,11.0,9.0,1.0,17.0,12.0,27
2552,12.0,5.0,5.0,1.0,4.0,10.0,27
3189,12.0,5.0,15.0,17.0,16.0,11.0,27
3531,12.0,3.0,18.0,9.0,6.0,4.0,27
5261,18.0,19.0,19.0,1.0,14.0,11.0,27
6159,12.0,17.0,18.0,8.0,19.0,5.0,27
6369,18.0,20.0,14.0,1.0,14.0,10.0,27
6625,2.0,19.0,11.0,1.0,0.0,8.0,27
6657,18.0,13.0,2.0,17.0,9.0,13.0,27
7939,6.0,2.0,14.0,4.0,7.0,4.0,27
8968,12.0,20.0,3.0,9.0,14.0,20.0,27
9059,2.0,6.0,2.0,19.0,7.0,7.0,27
9886,14.0,17.0,9.0,14.0,7.0,4.0,27
172,2.0,2.0,9.0,18.0,2.0,11.0,27
811,12.0,11.0,18.0,13.0,6.0,12.0,27
1432,11.0,15.0,3.0,4.0,7.0,0.0,27
2981,17.0,3.0,9.0,17.0,7.0,8.0,27
4111,18.0,20.0,3.0,4.0,16.0,4.0,27
4649,18.0,5.0,14.0,13.0,7.0,19.0,27
4701,6.0,17.0,2.0,4.0,12.0,15.0,27
4703,11.0,16.0,19.0,4.0,16.0,14.0,27
6647,1.0,2.0,2.0,17.0,7.0,8.0,27
7525,14.0,5.0,19.0,1.0,6.0,19.0,27
8632,9.0,12.0,19.0,17.0,6.0,7.0,27
9257,12.0,2.0,3.0,18.0,0.0,0.0,27
9680,12.0,16.0,18.0,3.0,16.0,11.0,27
810,12.0,12.0,18.0,11.0,16.0,11.0,27
1765,2.0,20.0,2.0,17.0,16.0,9.0,27
1945,12.0,3.0,9.0,20.0,6.0,4.0,27
2229,12.0,0.0,9.0,6.0,4.0,12.0,27
2628,18.0,2.0,11.0,18.0,7.0,13.0,27
2720,12.0,14.0,16.0,17.0,7.0,5.0,27
3480,2.0,6.0,9.0,10.0,9.0,7.0,27
3726,12.0,20.0,6.0,4.0,16.0,12.0,27
4511,2.0,0.0,3.0,18.0,17.0,5.0,27
5094,18.0,16.0,1.0,17.0,6.0,13.0,27
7291,8.0,16.0,18.0,1.0,7.0,9.0,27
7974,18.0,0.0,3.0,18.0,19.0,16.0,27
8656,12.0,1.0,19.0,18.0,8.0,4.0,27
8300,18.0,5.0,9.0,15.0,4.0,17.0,26
5253,12.0,19.0,18.0,1.0,9.0,18.0,26
5289,2.0,6.0,18.0,19.0,7.0,13.0,26
2074,18.0,12.0,9.0,10.0,5.0,1.0,26
5889,11.0,3.0,19.0,17.0,3.0,9.0,26
6491,4.0,11.0,9.0,1.0,6.0,6.0,26
6554,12.0,4.0,11.0,1.0,5.0,4.0,26
2623,2.0,12.0,18.0,20.0,0.0,5.0,26
6790,5.0,4.0,9.0,1.0,14.0,10.0,26
5041,14.0,12.0,10.0,1.0,7.0,17.0,26
9354,2.0,11.0,14.0,17.0,12.0,4.0,26
9496,18.0,12.0,1.0,18.0,17.0,11.0,26
9602,7.0,5.0,19.0,13.0,7.0,5.0,26
276,8.0,14.0,19.0,1.0,12.0,1.0,26
334,11.0,12.0,1.0,1.0,14.0,16.0,26
2662,2.0,8.0,9.0,1.0,6.0,14.0,26
1924,8.0,12.0,2.0,17.0,9.0,4.0,26
2212,2.0,17.0,20.0,1.0,20.0,8.0,26
2355,15.0,0.0,9.0,18.0,4.0,17.0,26
2356,2.0,3.0,3.0,10.0,8.0,0.0,26
1345,15.0,5.0,2.0,1.0,19.0,4.0,26
2919,9.0,7.0,9.0,1.0,18.0,13.0,26
3032,5.0,11.0,3.0,4.0,7.0,5.0,26
3042,17.0,12.0,3.0,9.0,4.0,17.0,26
3340,6.0,2.0,2.0,17.0,12.0,0.0,26
3195,18.0,3.0,3.0,18.0,8.0,16.0,26
3261,18.0,6.0,3.0,9.0,0.0,16.0,26
3371,18.0,17.0,2.0,6.0,7.0,14.0,26
1455,3.0,13.0,3.0,1.0,7.0,17.0,26
892,2.0,14.0,18.0,1.0,11.0,4.0,26
3644,18.0,6.0,11.0,1.0,17.0,17.0,26
1897,2.0,8.0,2.0,17.0,7.0,7.0,26
1898,14.0,12.0,6.0,18.0,7.0,9.0,26
3910,2.0,5.0,6.0,8.0,4.0,15.0,26
4097,18.0,2.0,3.0,10.0,12.0,17.0,26
1998,12.0,16.0,3.0,17.0,9.0,2.0,26
4356,18.0,16.0,19.0,17.0,5.0,14.0,26
5085,11.0,20.0,19.0,18.0,4.0,6.0,26
5732,2.0,0.0,5.0,1.0,6.0,7.0,26
5819,14.0,17.0,2.0,13.0,0.0,6.0,26
4328,12.0,6.0,11.0,13.0,9.0,8.0,26
6375,12.0,16.0,3.0,11.0,17.0,7.0,26
6493,7.0,13.0,2.0,1.0,9.0,5.0,26
6989,18.0,19.0,16.0,1.0,4.0,15.0,26
7214,5.0,7.0,9.0,17.0,0.0,6.0,26
7368,5.0,4.0,9.0,17.0,12.0,19.0,26
8626,10.0,2.0,9.0,4.0,12.0,5.0,26
8805,12.0,2.0,19.0,8.0,3.0,1.0,26
8909,6.0,11.0,3.0,9.0,8.0,11.0,26
9417,9.0,13.0,6.0,1.0,9.0,1.0,26
9959,18.0,15.0,3.0,19.0,15.0,6.0,26
4,15.0,16.0,19.0,17.0,17.0,13.0,26
457,12.0,12.0,17.0,1.0,15.0,0.0,26
649,2.0,2.0,0.0,17.0,11.0,8.0,26
923,11.0,6.0,19.0,8.0,8.0,7.0,26
933,14.0,3.0,2.0,13.0,7.0,12.0,26
966,2.0,6.0,9.0,5.0,15.0,1.0,26
1025,18.0,17.0,14.0,1.0,13.0,20.0,26
1095,11.0,6.0,19.0,17.0,12.0,16.0,26
1205,18.0,20.0,14.0,17.0,6.0,10.0,26
1300,7.0,12.0,9.0,17.0,8.0,0.0,26
1473,2.0,11.0,19.0,17.0,11.0,1.0,26
1675,14.0,5.0,11.0,1.0,19.0,8.0,26
2197,12.0,5.0,9.0,9.0,15.0,0.0,26
2575,12.0,17.0,11.0,13.0,4.0,9.0,26
2946,3.0,16.0,2.0,17.0,7.0,11.0,26
3099,2.0,16.0,9.0,11.0,0.0,17.0,26
3172,6.0,6.0,15.0,1.0,7.0,14.0,26
3225,7.0,0.0,6.0,1.0,6.0,6.0,26
3954,2.0,18.0,18.0,1.0,16.0,15.0,26
4166,18.0,15.0,7.0,13.0,4.0,0.0,26
4293,10.0,3.0,3.0,4.0,7.0,9.0,26
4330,18.0,6.0,3.0,4.0,0.0,17.0,26
5697,12.0,11.0,14.0,15.0,7.0,5.0,26
7136,11.0,14.0,9.0,1.0,12.0,9.0,26
8232,2.0,17.0,2.0,5.0,7.0,20.0,26
8614,11.0,12.0,19.0,17.0,11.0,9.0,26
8994,2.0,6.0,9.0,2.0,7.0,4.0,26
9550,12.0,2.0,8.0,3.0,7.0,15.0,26
9786,2.0,17.0,13.0,4.0,0.0,13.0,26
15,8.0,4.0,9.0,1.0,8.0,10.0,26
180,1.0,12.0,19.0,1.0,19.0,10.0,26
671,18.0,17.0,18.0,0.0,7.0,15.0,26
745,15.0,16.0,19.0,1.0,10.0,1.0,26
795,2.0,2.0,11.0,19.0,6.0,7.0,26
1050,14.0,2.0,9.0,8.0,12.0,15.0,26
1365,18.0,3.0,0.0,1.0,12.0,12.0,26
1456,18.0,13.0,19.0,9.0,16.0,7.0,26
1488,14.0,17.0,9.0,6.0,8.0,4.0,26
1646,12.0,15.0,15.0,4.0,19.0,5.0,26
2164,8.0,17.0,19.0,1.0,3.0,17.0,26
2308,7.0,12.0,15.0,1.0,12.0,17.0,26
2887,18.0,20.0,19.0,11.0,7.0,7.0,26
2895,12.0,16.0,0.0,13.0,3.0,8.0,26
3080,6.0,2.0,19.0,1.0,17.0,10.0,26
4483,2.0,12.0,19.0,8.0,15.0,7.0,26
4508,12.0,5.0,8.0,19.0,7.0,9.0,26
5695,12.0,3.0,9.0,8.0,17.0,8.0,26
6393,5.0,17.0,7.0,4.0,7.0,5.0,26
6418,6.0,0.0,15.0,1.0,0.0,13.0,26
6631,2.0,12.0,3.0,8.0,15.0,11.0,26
7401,2.0,16.0,14.0,17.0,9.0,1.0,26
7430,18.0,16.0,19.0,11.0,19.0,13.0,26
7495,12.0,11.0,14.0,13.0,0.0,1.0,26
9722,11.0,12.0,3.0,9.0,15.0,4.0,26
6881,8.0,16.0,2.0,6.0,6.0,20.0,25
6926,2.0,6.0,18.0,14.0,11.0,1.0,25
281,12.0,8.0,1.0,4.0,12.0,15.0,25
2654,12.0,10.0,3.0,14.0,10.0,17.0,25
7277,2.0,10.0,19.0,4.0,11.0,10.0,25
6655,12.0,14.0,9.0,9.0,3.0,13.0,25
7380,6.0,2.0,9.0,4.0,18.0,17.0,25
6753,12.0,5.0,2.0,9.0,20.0,4.0,25
2664,2.0,16.0,6.0,10.0,17.0,13.0,25
8070,12.0,5.0,19.0,20.0,14.0,5.0,25
8194,12.0,7.0,18.0,18.0,4.0,20.0,25
8335,6.0,11.0,3.0,13.0,3.0,15.0,25
8353,11.0,17.0,9.0,1.0,16.0,2.0,25
8413,2.0,17.0,18.0,9.0,3.0,12.0,25
2778,12.0,16.0,14.0,11.0,9.0,12.0,25
831,3.0,12.0,11.0,4.0,6.0,7.0,25
1109,18.0,17.0,15.0,10.0,4.0,8.0,25
1167,7.0,6.0,3.0,17.0,4.0,15.0,25
2873,1.0,15.0,9.0,17.0,6.0,4.0,25
1212,18.0,17.0,18.0,10.0,2.0,7.0,25
9435,17.0,16.0,9.0,4.0,14.0,19.0,25
9660,8.0,0.0,9.0,17.0,0.0,11.0,25
2973,5.0,5.0,9.0,3.0,8.0,15.0,25
6760,10.0,16.0,8.0,1.0,9.0,20.0,25
2072,17.0,2.0,9.0,10.0,18.0,13.0,25
9997,18.0,6.0,11.0,5.0,7.0,8.0,25
6875,12.0,15.0,19.0,9.0,8.0,6.0,25
1304,17.0,2.0,3.0,13.0,6.0,7.0,25
736,18.0,13.0,1.0,4.0,19.0,7.0,25
7048,18.0,12.0,0.0,10.0,12.0,1.0,25
2407,15.0,12.0,15.0,17.0,7.0,17.0,25
2793,1.0,16.0,3.0,1.0,4.0,9.0,25
7209,7.0,12.0,2.0,1.0,12.0,2.0,25
7357,6.0,3.0,18.0,9.0,7.0,15.0,25
2446,17.0,15.0,15.0,1.0,9.0,6.0,25
3169,6.0,16.0,2.0,9.0,6.0,11.0,25
1047,4.0,12.0,15.0,4.0,7.0,15.0,25
7674,14.0,5.0,18.0,19.0,7.0,12.0,25
1139,8.0,4.0,13.0,4.0,7.0,6.0,25
1179,12.0,15.0,1.0,18.0,16.0,4.0,25
1268,6.0,9.0,9.0,1.0,13.0,12.0,25
7954,2.0,12.0,11.0,19.0,15.0,10.0,25
2514,18.0,12.0,19.0,2.0,15.0,6.0,25
3431,18.0,11.0,4.0,4.0,17.0,5.0,25
8095,7.0,12.0,0.0,1.0,8.0,19.0,25
1921,9.0,12.0,11.0,1.0,14.0,13.0,25
1943,5.0,15.0,9.0,12.0,8.0,6.0,25
5817,11.0,12.0,3.0,9.0,2.0,4.0,25
2317,18.0,2.0,11.0,10.0,19.0,10.0,25
5433,18.0,15.0,3.0,7.0,3.0,12.0,25
2463,18.0,9.0,11.0,13.0,7.0,15.0,25
3752,18.0,12.0,2.0,3.0,0.0,0.0,25
8453,12.0,15.0,14.0,17.0,2.0,15.0,25
2624,2.0,2.0,15.0,9.0,16.0,6.0,25
3855,12.0,10.0,14.0,9.0,9.0,8.0,25
3859,18.0,5.0,3.0,0.0,16.0,8.0,25
8895,2.0,13.0,19.0,7.0,7.0,8.0,25
3100,18.0,19.0,3.0,14.0,8.0,5.0,25
9101,5.0,16.0,9.0,18.0,14.0,15.0,25
6127,0.0,2.0,19.0,1.0,9.0,10.0,25
3380,18.0,13.0,2.0,8.0,7.0,10.0,25
3435,18.0,20.0,2.0,14.0,15.0,13.0,25
3941,12.0,14.0,2.0,14.0,0.0,9.0,25
9273,3.0,5.0,19.0,1.0,9.0,10.0,25
4289,12.0,12.0,0.0,16.0,19.0,7.0,25
4113,18.0,0.0,6.0,1.0,18.0,0.0,25
4318,1.0,16.0,9.0,18.0,4.0,20.0,25
4184,19.0,11.0,3.0,4.0,7.0,4.0,25
4195,12.0,6.0,2.0,5.0,2.0,11.0,25
4351,5.0,4.0,9.0,6.0,6.0,9.0,25
1127,17.0,7.0,9.0,4.0,6.0,11.0,25
4385,12.0,4.0,2.0,18.0,16.0,2.0,25
4416,18.0,4.0,7.0,1.0,16.0,1.0,25
4519,14.0,0.0,14.0,1.0,3.0,16.0,25
4525,7.0,19.0,9.0,9.0,7.0,19.0,25
4579,12.0,9.0,15.0,8.0,7.0,14.0,25
3898,18.0,13.0,2.0,18.0,0.0,20.0,25
4616,2.0,16.0,18.0,4.0,4.0,14.0,25
4804,18.0,2.0,19.0,3.0,0.0,7.0,25
4843,18.0,5.0,2.0,20.0,12.0,16.0,25
4760,12.0,6.0,16.0,18.0,6.0,11.0,25
3944,12.0,1.0,3.0,1.0,11.0,18.0,25
5560,11.0,20.0,19.0,8.0,7.0,1.0,25
5071,12.0,18.0,1.0,4.0,4.0,5.0,25
5704,18.0,17.0,6.0,18.0,4.0,12.0,25
5952,18.0,1.0,3.0,1.0,6.0,14.0,25
6066,17.0,12.0,19.0,6.0,6.0,15.0,25
6440,3.0,17.0,9.0,18.0,16.0,9.0,25
6500,2.0,17.0,18.0,8.0,17.0,15.0,25
2070,13.0,12.0,15.0,1.0,3.0,11.0,25
6728,15.0,6.0,2.0,1.0,2.0,7.0,25
6892,12.0,9.0,14.0,1.0,10.0,10.0,25
6938,2.0,6.0,2.0,14.0,10.0,1.0,25
7063,7.0,16.0,9.0,18.0,0.0,1.0,25
5226,12.0,19.0,1.0,2.0,3.0,15.0,25
5236,2.0,3.0,6.0,14.0,10.0,15.0,25
8036,6.0,12.0,11.0,17.0,6.0,6.0,25
3999,11.0,11.0,11.0,1.0,9.0,8.0,25
5545,2.0,15.0,15.0,1.0,10.0,15.0,25
1085,2.0,4.0,2.0,5.0,12.0,9.0,25
8649,12.0,19.0,2.0,14.0,5.0,5.0,25
4171,10.0,12.0,9.0,18.0,3.0,4.0,25
9044,2.0,13.0,6.0,14.0,4.0,8.0,25
9882,6.0,16.0,9.0,18.0,17.0,7.0,25
5991,2.0,3.0,0.0,17.0,3.0,9.0,25
4303,12.0,5.0,18.0,11.0,14.0,8.0,25
6186,7.0,12.0,19.0,1.0,20.0,11.0,25
1198,11.0,12.0,19.0,13.0,17.0,19.0,25
9977,18.0,18.0,3.0,9.0,8.0,6.0,25
59,17.0,20.0,2.0,1.0,0.0,9.0,25
78,2.0,5.0,16.0,20.0,7.0,20.0,25
6578,12.0,6.0,14.0,5.0,3.0,19.0,25
206,15.0,16.0,2.0,9.0,4.0,13.0,25
4364,18.0,6.0,13.0,13.0,9.0,6.0,25
407,15.0,0.0,11.0,1.0,6.0,10.0,25
4382,12.0,13.0,9.0,2.0,6.0,17.0,25
4482,12.0,9.0,2.0,19.0,13.0,12.0,25
682,4.0,2.0,9.0,18.0,4.0,6.0,25
6670,5.0,12.0,20.0,1.0,11.0,6.0,25
4875,18.0,20.0,18.0,8.0,16.0,8.0,25
818,2.0,4.0,19.0,13.0,14.0,5.0,25
916,18.0,13.0,8.0,6.0,7.0,13.0,25
1330,12.0,19.0,0.0,9.0,7.0,7.0,25
1849,12.0,16.0,0.0,13.0,2.0,13.0,25
1873,18.0,5.0,1.0,14.0,16.0,15.0,25
2013,2.0,11.0,2.0,14.0,16.0,17.0,25
2646,18.0,0.0,9.0,11.0,9.0,1.0,25
2744,19.0,14.0,18.0,1.0,7.0,6.0,25
3206,7.0,5.0,2.0,4.0,8.0,15.0,25
3355,2.0,0.0,2.0,10.0,17.0,6.0,25
3391,17.0,13.0,15.0,4.0,7.0,15.0,25
3676,18.0,9.0,18.0,4.0,8.0,0.0,25
3953,4.0,0.0,9.0,17.0,7.0,19.0,25
3973,8.0,2.0,19.0,4.0,6.0,11.0,25
4236,15.0,6.0,6.0,1.0,4.0,13.0,25
4499,2.0,3.0,9.0,3.0,17.0,11.0,25
4688,5.0,20.0,9.0,9.0,4.0,7.0,25
5139,15.0,20.0,19.0,4.0,8.0,4.0,25
5306,11.0,16.0,11.0,6.0,6.0,20.0,25
5476,12.0,12.0,4.0,13.0,6.0,4.0,25
5490,11.0,13.0,14.0,17.0,16.0,8.0,25
5967,9.0,5.0,2.0,19.0,7.0,5.0,25
5971,2.0,8.0,6.0,1.0,8.0,5.0,25
6111,11.0,20.0,14.0,17.0,9.0,11.0,25
6154,5.0,10.0,0.0,1.0,8.0,15.0,25
6487,13.0,0.0,2.0,1.0,0.0,17.0,25
7127,9.0,17.0,15.0,1.0,16.0,15.0,25
7374,12.0,8.0,2.0,1.0,13.0,15.0,25
7461,9.0,10.0,2.0,1.0,3.0,7.0,25
7652,4.0,12.0,18.0,1.0,11.0,8.0,25
7705,2.0,4.0,2.0,17.0,18.0,9.0,25
7975,18.0,13.0,9.0,20.0,8.0,15.0,25
8530,12.0,16.0,11.0,15.0,9.0,15.0,25
8557,6.0,0.0,14.0,18.0,9.0,8.0,25
9089,12.0,2.0,2.0,6.0,2.0,10.0,25
9313,6.0,14.0,14.0,1.0,3.0,8.0,25
9340,17.0,20.0,18.0,1.0,6.0,16.0,25
9346,12.0,16.0,9.0,10.0,13.0,16.0,25
9448,12.0,0.0,1.0,19.0,9.0,5.0,25
9497,17.0,4.0,19.0,19.0,7.0,15.0,25
9875,12.0,5.0,12.0,1.0,13.0,12.0,25
9960,12.0,11.0,0.0,10.0,16.0,5.0,25
5181,18.0,3.0,0.0,4.0,6.0,10.0,24
5251,12.0,3.0,0.0,14.0,11.0,20.0,24
870,11.0,13.0,1.0,1.0,3.0,19.0,24
5310,12.0,17.0,10.0,1.0,13.0,0.0,24
1128,2.0,3.0,9.0,3.0,14.0,9.0,24
5456,2.0,1.0,3.0,17.0,10.0,8.0,24
3712,12.0,8.0,2.0,15.0,7.0,6.0,24
5500,6.0,6.0,0.0,17.0,7.0,9.0,24
1416,12.0,4.0,3.0,20.0,14.0,11.0,24
5554,2.0,11.0,3.0,2.0,15.0,15.0,24
1706,12.0,16.0,15.0,8.0,0.0,14.0,24
5614,18.0,16.0,19.0,20.0,11.0,10.0,24
1738,3.0,3.0,3.0,9.0,8.0,7.0,24
5895,18.0,5.0,20.0,6.0,9.0,6.0,24
2059,12.0,0.0,0.0,6.0,4.0,13.0,24
5961,16.0,5.0,3.0,13.0,7.0,17.0,24
2256,1.0,12.0,2.0,17.0,3.0,20.0,24
6096,12.0,3.0,15.0,9.0,16.0,20.0,24
3916,12.0,20.0,19.0,20.0,8.0,16.0,24
6489,12.0,9.0,5.0,4.0,9.0,13.0,24
2644,15.0,2.0,7.0,1.0,0.0,13.0,24
6572,11.0,15.0,9.0,18.0,8.0,13.0,24
2961,6.0,17.0,19.0,4.0,17.0,9.0,24
6583,18.0,9.0,15.0,13.0,7.0,10.0,24
3201,18.0,4.0,18.0,13.0,9.0,12.0,24
8793,12.0,13.0,5.0,10.0,8.0,12.0,24
3356,8.0,3.0,9.0,17.0,15.0,11.0,24
7020,18.0,19.0,9.0,14.0,12.0,12.0,24
3535,12.0,7.0,14.0,18.0,8.0,5.0,24
8962,6.0,12.0,8.0,17.0,0.0,10.0,24
3679,2.0,12.0,8.0,18.0,17.0,4.0,24
7298,6.0,17.0,7.0,1.0,2.0,9.0,24
3970,2.0,10.0,3.0,12.0,7.0,7.0,24
7335,6.0,13.0,9.0,13.0,19.0,10.0,24
4437,5.0,12.0,14.0,13.0,7.0,20.0,24
7454,2.0,19.0,2.0,11.0,4.0,5.0,24
4801,1.0,2.0,19.0,17.0,19.0,19.0,24
7744,17.0,0.0,9.0,18.0,2.0,6.0,24
4860,14.0,6.0,0.0,8.0,7.0,1.0,24
7756,18.0,0.0,19.0,10.0,2.0,9.0,24
5389,17.0,12.0,11.0,17.0,9.0,13.0,24
8051,3.0,12.0,19.0,18.0,3.0,12.0,24
